Frequency (eV),Frequency (meV),vDOS Total,Frequency (eV),Frequency (meV),vDOS Crystalline,Frequency (eV),Frequency (meV),vDOS Amorphous
0.056959,56.959,3.7335,0.056959,56.959,0.57341,0.056959,56.959,5.96
0.057195,57.195,4.9984,0.057195,57.195,0.53118,0.057195,57.195,8.1458
0.057432,57.432,5.6388,0.057432,57.432,0.65929,0.057432,57.432,9.1473
0.057668,57.668,4.0205,0.057668,57.668,0.7677,0.057668,57.668,6.3124
0.057904,57.904,5.0165,0.057904,57.904,0.64018,0.057904,57.904,8.1
0.058141,58.141,5.6399,0.058141,58.141,0.53859,0.058141,58.141,9.2341
0.058377,58.377,4.4034,0.058377,58.377,0.61906,0.058377,58.377,7.0698
0.058613,58.613,4.5495,0.058613,58.613,0.69948,0.058613,58.613,7.2622
0.05885,58.85,4.4521,0.05885,58.85,0.58053,0.05885,58.85,7.1799
0.059086,59.086,4.6693,0.059086,59.086,0.5476,0.059086,59.086,7.5733
0.059322,59.322,2.7827,0.059322,59.322,0.67947,0.059322,59.322,4.2646
0.059559,59.559,4.8372,0.059559,59.559,0.57582,0.059559,59.559,7.8396
0.059795,59.795,4.8524,0.059795,59.795,0.48696,0.059795,59.795,7.9282
0.060031,60.031,2.737,0.060031,60.031,0.64191,0.060031,60.031,4.2131
0.060268,60.268,2.8958,0.060268,60.268,0.73873,0.060268,60.268,4.4156
0.060504,60.504,4.5825,0.060504,60.504,0.66687,0.060504,60.504,7.3413
0.06074,60.74,4.0586,0.06074,60.74,0.61131,0.06074,60.74,6.4874
0.060977,60.977,4.9133,0.060977,60.977,0.69314,0.060977,60.977,7.8868
0.061213,61.213,7.2719,0.061213,61.213,0.78504,0.061213,61.213,11.842
0.061449,61.449,4.0493,0.061449,61.449,0.56199,0.061449,61.449,6.5064
0.061686,61.686,6.7558,0.061686,61.686,0.64386,0.061686,61.686,11.062
0.061922,61.922,5.9645,0.061922,61.922,0.63112,0.061922,61.922,9.7222
0.062158,62.158,3.7105,0.062158,62.158,0.501,0.062158,62.158,5.9719
0.062395,62.395,6.1054,0.062395,62.395,0.59728,0.062395,62.395,9.9862
0.062631,62.631,5.0425,0.062631,62.631,0.57053,0.062631,62.631,8.1933
0.062868,62.868,4.591,0.062868,62.868,0.58683,0.062868,62.868,7.4122
0.063104,63.104,5.2507,0.063104,63.104,0.56029,0.063104,63.104,8.5554
0.06334,63.34,4.5742,0.06334,63.34,0.59751,0.06334,63.34,7.3761
0.063577,63.577,4.533,0.063577,63.577,0.55013,0.063577,63.577,7.3393
